Z     age    Bmag   Vmag  
0.015 7.000   6.346  5.375
0.015 7.000   4.117  3.486
0.015 7.000   7.819  6.611
0.015 7.000   5.218  4.424
0.015 7.000   8.375  7.101
0.015 7.000   7.911  6.690
0.015 7.000   8.972  7.625
0.015 7.000   7.370  6.226
0.015 7.000   6.764  5.722
0.015 7.000   2.347  2.159
0.015 7.000   7.841  6.630
0.015 7.000   5.962  5.054
0.015 7.000   2.109  1.983
0.015 7.000   6.770  5.727
0.015 7.000   1.856  1.820
0.015 7.000   0.560  0.667
0.015 7.000   4.111  3.481
0.015 7.000   1.837  1.809
0.015 7.000   6.165  5.224
0.015 7.000   2.751  2.485
0.015 7.000   8.127  6.880
0.015 7.000   8.496  7.206
0.015 7.000   7.769  6.567
0.015 7.000   1.433  1.469
0.015 7.000   6.999  5.917
0.015 7.000  -0.211 -0.062
0.015 7.000   7.874  6.658
0.015 7.000   3.629  3.075
0.015 7.000   8.360  7.087
0.015 7.000   8.303  7.037
0.015 7.000   7.056  5.964
0.015 7.000   7.631  6.449
0.015 7.000   6.686  5.657
0.015 7.000   8.987  7.639
0.015 7.000   7.596  6.419
0.015 7.000   3.339  2.836
0.015 7.000   8.326  7.057
0.015 7.000   6.656  5.632
0.015 7.000   1.678  1.679
0.015 7.000   6.779  5.735
0.015 7.000   5.489  4.654
0.015 7.000   7.185  6.071
0.015 7.000   8.650  7.338
0.015 7.000   8.302  7.036
0.015 7.000   7.929  6.706
0.015 7.000   0.312  0.433
0.015 7.000   5.534  4.692
0.015 7.000   8.169  6.917
0.015 7.000   8.558  7.259
0.015 7.000   8.815  7.482
0.015 7.000   3.355  2.849
0.015 7.000   2.679  2.425
0.015 7.000   6.051  5.128
0.015 7.000   0.891  0.977
0.015 7.000   5.877  4.982
0.015 7.000   5.758  4.882
0.015 7.000   1.140  1.206
0.015 7.000   8.747  7.422
0.015 7.000   7.660  6.474
0.015 7.000   8.273  7.009
0.015 7.000   2.582  2.263
0.015 7.000   7.411  6.261
0.015 7.000   1.400  1.439
0.015 7.000   0.052  0.187
0.015 7.000   6.909  5.842
0.015 7.000   5.352  4.538
0.015 7.000   7.042  5.953
0.015 7.000  -0.208 -0.060
0.015 7.000   8.273  7.010
0.015 7.000  -4.200 -3.925
0.015 7.000   7.924  6.701
0.015 7.000   8.396  7.120
0.015 7.000   6.668  5.642
0.015 7.000   1.439  1.474
0.015 7.000  -0.874 -0.695
0.015 7.000   0.916  1.001
0.015 7.000   9.093  7.738
0.015 7.000   8.264  7.001
0.015 7.000   5.002  4.241
0.015 7.000   8.013  6.779
0.015 7.000   5.194  4.404
0.015 7.000   3.296  2.801
0.015 7.000   0.234  0.359
0.015 7.000   9.329  7.967
0.015 7.000   5.872  4.978
0.015 7.000   7.938  6.714
0.015 7.000   8.143  6.894
0.015 7.000  -1.547 -1.339
0.015 7.000   7.394  6.246
0.015 7.000   8.527  7.232
0.015 7.000  -3.341 -3.060
0.015 7.000   1.781  1.766
0.015 7.000   8.047  6.809
0.015 7.000   8.318  7.050
0.015 7.000   4.990  4.231
0.015 7.000   1.464  1.496
0.015 7.000   2.761  2.492
0.015 7.000   6.301  5.337
0.015 7.000   0.857  0.945
0.015 7.000   5.999  5.085
0.015 7.000   4.749  4.025
0.015 7.000   7.305  6.171
0.015 7.000   7.639  6.455
0.015 7.000   0.868  0.956
0.015 7.000   7.021  5.935
0.015 7.000   8.211  6.954
0.015 7.000   1.177  1.240
0.015 7.000   7.358  6.216
0.015 7.000   6.508  5.509
0.015 7.000   4.630  3.923
0.015 7.000   1.689  1.688
0.015 7.000   1.063  1.136
0.015 7.000   5.544  4.701
0.015 7.000   7.749  6.550
0.015 7.000   8.027  6.791
0.015 7.000   1.868  1.826
0.015 7.000   2.538  2.270
0.015 7.000   7.978  6.748
0.015 7.000   1.378  1.420
0.015 7.000   8.198  6.943
0.015 7.000   6.206  5.257
0.015 7.000   7.993  6.761
0.015 7.000   7.649  6.464
0.015 7.000  -0.295 -0.143
0.015 7.000  -1.704 -1.491
0.015 7.000   8.012  6.778
0.015 7.000   6.310  5.344
0.015 7.000   2.581  2.345
0.015 7.000   8.164  6.913
0.015 7.000   3.344  2.840
0.015 7.000   6.587  5.575
0.015 7.000   8.468  7.182
0.015 7.000   4.492  3.806
0.015 7.000   7.020  5.934
0.015 7.000   6.081  5.153
0.015 7.000   8.298  7.032
0.015 7.000   7.779  6.576
0.015 7.000   1.481  1.511
0.015 7.000   6.768  5.726
0.015 7.000   1.184  1.246
0.015 7.000   7.261  6.134
0.015 7.000   1.776  1.761
0.015 7.000   9.272  7.911
0.015 7.000   8.852  7.516
0.015 7.000   3.754  3.180
0.015 7.000   8.310  7.042
0.015 7.000   8.180  6.927
0.015 7.000   8.331  7.061
0.015 7.000   7.424  6.272
0.015 7.000   8.617  7.309
